SubID,ROI,MeanBeta
sub-s034,pHIPP,-0.095248446
sub-s001,aHIPP,0.101495337
sub-s002,aHIPP,0.482822037
sub-s003,aHIPP,0.256424537
sub-s004,aHIPP,0.42696489
sub-s005,aHIPP,0.905186851
sub-s006,aHIPP,0.894522672
sub-s007,aHIPP,0.153920228
sub-s009,aHIPP,0.280618073
sub-s010,aHIPP,1.470379305
sub-s011,aHIPP,-0.414954101
sub-s013,aHIPP,0.85162363
sub-s014,aHIPP,0.473609687
sub-s015,aHIPP,1.015278511
sub-s016,aHIPP,1.906636567
sub-s019,aHIPP,-0.725505826
sub-s020,aHIPP,-1.317931221
sub-s021,aHIPP,0.26043969
sub-s022,aHIPP,0.866534036
sub-s024,aHIPP,0.203440497
sub-s025,aHIPP,0.281288069
sub-s027,aHIPP,1.781926587
sub-s028,aHIPP,0.576532966
sub-s029,aHIPP,-0.562405529
sub-s030,aHIPP,-0.081638054
sub-s031,aHIPP,-0.322516597
sub-s032,aHIPP,-0.373944562
sub-s033,aHIPP,1.726839785
sub-s034,aHIPP,0.433889863
sub-s001,PRC,-0.337569998
sub-s002,PRC,-0.169141925
sub-s003,PRC,-0.312676897
sub-s004,PRC,-0.368125201
sub-s005,PRC,0.281182895
sub-s006,PRC,1.077300195
sub-s007,PRC,-1.026469094
sub-s009,PRC,0.888910693
sub-s010,PRC,0.007575295
sub-s011,PRC,-0.060583033
sub-s013,PRC,0.356424037
sub-s014,PRC,0.711504759
sub-s015,PRC,0.642457511
sub-s016,PRC,0.500709968
sub-s019,PRC,-1.121658006
sub-s020,PRC,-1.415887797
sub-s021,PRC,-0.514055263
sub-s022,PRC,1.364160159
sub-s024,PRC,-0.322615433
sub-s025,PRC,0.841595085
sub-s027,PRC,2.859219632
sub-s028,PRC,0.077920038
sub-s029,PRC,-0.984361064
sub-s030,PRC,-0.064655807
sub-s031,PRC,0.349914131
sub-s032,PRC,-0.547666791
sub-s033,PRC,1.711945067
sub-s034,PRC,-0.003107751
sub-s001,AMYG,0.286740421
sub-s002,AMYG,0.090917625
sub-s003,AMYG,-0.904940997
sub-s004,AMYG,0.971862441
sub-s005,AMYG,1.024552836
sub-s006,AMYG,1.429456487
sub-s007,AMYG,-0.597836491
sub-s009,AMYG,-0.221416545
sub-s010,AMYG,1.306922158
sub-s011,AMYG,0.647614125
sub-s013,AMYG,1.363749182
sub-s014,AMYG,0.286764368
sub-s015,AMYG,0.938854701
sub-s016,AMYG,1.404152401
sub-s019,AMYG,-1.643323911
sub-s020,AMYG,-0.886231708
sub-s021,AMYG,-0.152610945
sub-s022,AMYG,1.247905904
sub-s024,AMYG,-0.468826974
sub-s025,AMYG,-0.012439287
sub-s027,AMYG,2.415858523
sub-s028,AMYG,0.066772598
sub-s029,AMYG,-2.855229531
sub-s030,AMYG,0.761084316
sub-s031,AMYG,-0.112928535
sub-s032,AMYG,-0.548484489
sub-s033,AMYG,1.56960294
sub-s034,AMYG,0.198760091
sub-s001,FUS,-0.170066232
sub-s002,FUS,-0.26047227
sub-s003,FUS,0.40313584
sub-s004,FUS,0.425512805
sub-s005,FUS,0.409840426
sub-s006,FUS,1.449222053
sub-s007,FUS,-0.069005832
sub-s009,FUS,1.167564129
sub-s010,FUS,0.267902175
sub-s011,FUS,0.684098697
sub-s013,FUS,0.838953376
sub-s014,FUS,0.937450151
sub-s015,FUS,0.946392713
sub-s016,FUS,0.560170558
sub-s019,FUS,-0.849967744
sub-s020,FUS,-1.893894302
sub-s021,FUS,-0.465192162
sub-s022,FUS,0.830343733
sub-s024,FUS,-0.492789037
sub-s025,FUS,0.334083621
sub-s027,FUS,2.298124838
sub-s028,FUS,-0.144204463
sub-s029,FUS,-2.090961016
sub-s030,FUS,0.017206198
sub-s031,FUS,0.224972968
sub-s032,FUS,0.192268595
sub-s033,FUS,0.873577418
sub-s034,FUS,0.528470426
sub-s001,ITC,0.388350055
sub-s002,ITC,-0.029420144
sub-s003,ITC,-0.956957988
sub-s004,ITC,-0.666471516
sub-s005,ITC,0.621375949
sub-s006,ITC,1.426786735
sub-s007,ITC,0.646066071
sub-s009,ITC,1.039430303
sub-s010,ITC,0.653175721
sub-s011,ITC,1.089788869
sub-s013,ITC,1.055948264
sub-s014,ITC,0.25941991
sub-s015,ITC,0.226930411
sub-s016,ITC,1.034374573
sub-s019,ITC,-0.665496528
sub-s020,ITC,-1.34598855
sub-s021,ITC,0.539673177
sub-s022,ITC,1.114317679
sub-s024,ITC,-0.429625806
sub-s025,ITC,0.658388897
sub-s027,ITC,2.05194613
sub-s028,ITC,-0.774223511
sub-s029,ITC,-2.090528447
sub-s030,ITC,-1.014055738
sub-s031,ITC,0.225901789
sub-s032,ITC,-0.493091709
sub-s033,ITC,0.93074654
sub-s034,ITC,1.126155031
sub-s001,OFC,0.720755179
sub-s002,OFC,0.304140746
sub-s003,OFC,-2.136138944
sub-s004,OFC,0.075966376
sub-s005,OFC,0.027664506
sub-s006,OFC,1.286990384
sub-s007,OFC,0.811929899
sub-s009,OFC,2.003753039
sub-s010,OFC,1.525745384
sub-s011,OFC,0.914400084
sub-s013,OFC,1.903384084
sub-s014,OFC,0.321998454
sub-s015,OFC,0.708042175
sub-s016,OFC,2.302297178
sub-s019,OFC,0.516951799
sub-s020,OFC,-1.242374309
sub-s021,OFC,0.03683231
sub-s022,OFC,1.775687381
sub-s024,OFC,-0.885944361
sub-s025,OFC,0.768778421
sub-s027,OFC,2.598422262
sub-s028,OFC,0.262064384
sub-s029,OFC,-1.349535044
sub-s030,OFC,-0.473947348
sub-s031,OFC,0.213590521
sub-s032,OFC,-0.160033512
sub-s033,OFC,3.545045044
sub-s034,OFC,0.673874686
